color_code,MIN_zika,MAX_zika,RANGE_zika,MEAN_zika,MEDIAN_zika,PCT90_zika,MIN_dengue2015,MAX_dengue2015,RANGE_dengue2015,MEAN_dengue2015,MEDIAN_dengue2015,PCT90_dengue2015,MIN_dengue2050,MAX_dengue2050,RANGE_dengue2050,MEAN_dengue2050,MEDIAN_dengue2050,PCT90_dengue2050
GBR,0,0.888725579,0.888725579,0.000350885,0,0,0,0.922081232,0.922081232,0.00110641,0,0,0,0.912146137,0.912146137,0.001130128,0,0
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRT,0,0,0,0,0,0,0,0.353595436,0.353595436,0.051461589,0.047474714,0.124370925,0,0.577185726,0.577185726,0.07169936,0.065025515,0.154461735
LUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAZ,0,0,0,0,0,0,0,0.661401331,0.661401331,0.015971979,0,0.060831882,0,0.759521943,0.759521943,0.032374137,0,0.101910694
ABW,0.008558827,0.547463775,0.538904947,0.189225355,0.009246409,0.546291232,0.772438347,0.878890634,0.106452286,0.832262494,0.838477492,0.872686386,0.710225125,0.850622376,0.140397251,0.791078583,0.787809372,0.843951155
GNQ,0,0.910499275,0.910499275,0.820872851,0.887001753,0.903398681,0,0.892527938,0.892527938,0.787831354,0.825907886,0.867628169,0,0.887417446,0.887417446,0.765564904,0.789751605,0.840554944
JAM,0,0.991116285,0.991116285,0.684310758,0.708632827,0.887067276,0,0.950116634,0.950116634,0.798300313,0.827210665,0.885462749,0.429823398,0.931864052,0.502040654,0.796462072,0.805561965,0.883334978
EST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NER,0,0.741632879,0.741632879,0.005887992,0.006238217,0.007235661,0,0.885182321,0.885182321,0.201281006,0,0.625622034,0,0.91727582,0.91727582,0.228044239,0,0.672453402
BLZ,0,0.913513124,0.913513124,0.617813237,0.648189604,0.866156197,0.709625244,0.918249488,0.208624244,0.862649858,0.868715823,0.892008591,0.71514443,0.920658112,0.205513681,0.873510336,0.878813973,0.904653354
MAR,0,0.943015456,0.943015456,0.000632831,0,0,0,0.914658427,0.914658427,0.104890787,0.048101742,0.299646854,0,0.936008885,0.936008885,0.12968969,0.084193788,0.329338956
MEX,0,0.990792811,0.990792811,0.148791673,0,0.638934755,0,0.957973897,0.957973897,0.370296584,0.252046332,0.839761996,0,0.944499494,0.944499494,0.405370385,0.340663374,0.842895433
ROU,0,0,0,0,0,0,0,0.156408012,0.156408012,0.007408385,0,0.040286142,0,0.203875603,0.203875603,0.014930253,0,0.040771103
BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECU,0,0.989591062,0.989591062,0.370315908,0.374431387,0.808004409,0,0.96826756,0.96826756,0.554122761,0.73812449,0.876863253,0,0.951871849,0.951871849,0.580233185,0.763245699,0.880843885
SDN,0,0.786844313,0.786844313,0.0096284,0.006233398,0.013228728,0,0.87223345,0.87223345,0.325375637,0.378829718,0.569764817,0,0.86075913,0.86075913,0.331530792,0.39063376,0.556666155
TZA,0,0.987761855,0.987761855,0.32217961,0.266010106,0.762969446,0,0.959493518,0.959493518,0.399072071,0.360206336,0.817155659,0,0.966098449,0.966098449,0.508155126,0.464882087,0.858079646
FSM,0,0.30795598,0.30795598,0.136233548,0.149241135,0.212897211,0.778617859,0.896791458,0.118173599,0.822275193,0.811634839,0.862970352,0.71307353,0.871046163,0.157972633,0.781857483,0.774786541,0.865813293
ATG,0,0.58166492,0.58166492,0.229232507,0.249435738,0.477892193,0,0.896941364,0.896941364,0.632432866,0.822922796,0.884710872,0,0.908254672,0.908254672,0.625363674,0.799773162,0.888964629
NOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,0,0.98880446,0.98880446,0.612075741,0.676475614,0.859732825,0,0.960992336,0.960992336,0.79641282,0.80341652,0.839468372,0,0.93974442,0.93974442,0.778555287,0.786524336,0.831635892
DNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WSM,0,0.613965034,0.613965034,0.149780916,0.101374999,0.429310277,0,0.925025105,0.925025105,0.726789642,0.748941481,0.898765433,0.308359251,0.916931359,0.608572108,0.720095358,0.720383335,0.893428881
AIA,0,0.028573373,0.028573373,0.010217203,0,0.02614908,0,0.734681785,0.734681785,0.581763363,0.722597182,0.733184659,0,0.805087246,0.805087246,0.63580593,0.791158144,0.801145912
ISR,0,0.892977118,0.892977118,0.032429161,0,0.018689677,0,0.748291612,0.748291612,0.226921711,0.195660651,0.411799204,0,0.732657516,0.732657516,0.223168411,0.20309075,0.374109914
LBY,0,0.759157062,0.759157062,0.000329071,0,0,0,0.841364503,0.841364503,0.014485118,0,0,0,0.873513223,0.873513223,0.015660102,0,0
NZL,0,0.698958993,0.698958993,0.000454961,0,0,0,0.849437892,0.849437892,0.000752988,0,0,0,0.853637906,0.853637906,0.000765682,0,0
KEN,0,0.989575326,0.989575326,0.063739657,0.008450488,0.189159016,0,0.972723305,0.972723305,0.419149994,0.479051769,0.778986931,0,0.960313368,0.960313368,0.535140162,0.60518804,0.836690293
OMN,0,0.757936597,0.757936597,0.008415762,0.008842899,0.010205849,0,0.986933768,0.986933768,0.421140166,0.557829916,0.920785069,0,0.987620676,0.987620676,0.440260941,0.619757076,0.919527775
KOR,0,0.706908286,0.706908286,0.000127924,0,0,0,0.914735854,0.914735854,0.138532958,0.077090457,0.415433764,0,0.928675705,0.928675705,0.205313819,0.162796971,0.488307939
